fmol/mgCDW	Yu2021_N30_005R1	Yu2021_N30_005R2	Yu2021_N30_005R3	Yu2021_std_010R1	Yu2021_std_010R2	Yu2021_std_010R3	Yu2021_N30_010R1	Yu2021_N30_010R2	Yu2021_N30_010R3	Yu2021_N30_013R1	Yu2021_N30_013R2	Yu2021_N30_013R3	Yu2021_N30_018R1	Yu2021_N30_018R2	Yu2021_N30_018R3	Yu2021_N30_030R1	Yu2021_N30_030R2	Yu2021_N30_030R3	Yu2021_N30_035R1	Yu2021_N30_035R2	Yu2021_N30_035R3	Yu2021_Gln_glc1R1	Yu2021_Gln_glc1R2	Yu2021_Gln_glc1R3	Yu2021_Gln_glc2R1	Yu2021_Gln_glc2R2	Yu2021_Gln_glc2R3	Yu2021_Gln_N30R1	Yu2021_Gln_N30R2	Yu2021_Gln_N30R3	Yu2021_Phe_stdR1	Yu2021_Phe_stdR2	Yu2021_Phe_stdR3	Yu2021_Phe_N30R1	Yu2021_Phe_N30R2	Yu2021_Phe_N30R3	Yu2021_Ile_stdR1	Yu2021_Ile_stdR2	Yu2021_Ile_stdR3	Yu2021_Ile_N30R1	Yu2021_Ile_N30R2	Yu2021_Ile_N30R3
YMR089C	67.11408077	65.30875778	73.5554888	114.0735388	126.8383948	105.2499467	66.77052453	71.37632787	76.20208455	115.4407447	96.53233961	100.7820614	114.2325164	100.667405	112.8438379	176.4649575	183.7589248	148.2825931	185.069859	163.0013991	201.3241361	122.9651263	178.4167323	223.2399739	193.1101015	90.54460236	117.7260283	82.35444265	120.4495662	126.0550696	155.2844828	197.001126	166.6265251	143.2729457	128.7373149	125.7857027	105.2418257	133.0868275	117.4891448	138.2710061	161.9810802	132.0553324
YNR006W	156.6459597	148.339862	154.8861615	165.4294097	146.5278028	130.8966127	126.7160674	133.1940513	109.5566672	165.5908042	148.3677003	140.4730308	123.8280443	130.2238794	151.3944033	156.2094262	150.304435	147.7656733	165.9807028	154.7674752	185.1837652	248.186897	214.8306577	243.93889	219.4726721	126.8702884	158.3150699	86.1385748	181.5934575	185.3203909	147.0837174	178.8357458	154.6067527	206.2776008	202.9011243	191.3357109	153.7644265	175.2796006	147.1199241	200.5896811	226.7390133	236.4681158
YNR007C	16.71809818	15.43565172	18.65358963	11.18891061	23.87960403	18.72297564	13.77240947	15.38693074	37.97040962	15.36100751	15.73595678	16.71773049	16.72545233	17.98300512	16.46458363	16.7138696	19.90474435	10.40514634	16.83874884	9.560959665	13.71605877	0.456910853	32.01041831	5.538986932	11.08632077	16.2441074	20.38868158	15.60689217	23.84336662	20.35183748	20.18723413	16.68809342	22.1038071	24.36574747	25.0618875	21.50282924	8.167860612	19.53619313	16.01357444	26.09914795	25.42632042	20.44234818
YJR068W	367.4635087	344.3408262	346.0396631	376.0750145	363.8709889	377.8415563	294.2083453	293.8796374	332.873807	446.6664111	379.912514	387.471227	438.7516	413.2297686	428.0210701	584.0132554	629.9221604	619.7368925	658.7594574	677.9163739	710.3462165	331.9259321	378.9703242	557.4846292	584.5197526	399.9129963	471.2920505	294.4409202	480.5433967	494.4591808	494.1728545	587.8192277	550.7580215	516.978717	504.480095	583.349639	439.6131628	465.0481659	486.1763817	584.3171536	675.8031569	643.1154086
YPL227C	49.13517663	42.81370422	42.43284579	71.90872326	75.48396889	69.26162072	44.37643003	48.81492876	43.32620975	63.45483246	54.98716997	54.24607162	67.1151197	62.84281356	67.49807878	84.20512202	94.91615347	96.31945549	102.041486	116.3769672	104.232618	105.3316794	115.8925461	117.8109212	95.08468037	60.98574913	71.90327692	38.06561684	62.46094351	78.21074432	75.95834975	87.74722231	74.68591677	88.5060605	70.75875631	85.86191467	71.75560172	95.00065036	65.53231998	85.26623483	82.7644732	86.07805859
YOR067C	8.242111485	6.662531915	10.80752704	12.42516341	13.23834255	13.03548646	7.548498285	8.757489006	8.138496428	9.426403297	8.220974637	9.102986029	9.952912376	10.77153941	10.49852839	15.32146092	12.96049913	14.86454365	12.51076076	21.37498574	15.95070836	22.93638178	25.0511923	25.4512339	21.00562152	11.90483561	11.53440395	6.117112317	10.57388241	12.44178216	14.75981546	20.37264249	13.59766888	14.37933918	11.8707469	14.6578112	11.29379227	16.43671092	12.29627318	10.91514945	15.85897055	9.940680756
YJR035W	2.559029024	2.324147731	1.854596529	3.282867156	3.236949488	2.707064762	1.627658837	2.050966947	3.91156011	2.607953358	2.097084872	2.017050899	2.331568436	2.098094514	2.760308565	3.414579025	2.872687116	2.67512349	2.805688447	3.275896323	3.774419038	4.642131947	4.855418667	6.399697535	4.848876877	2.227400489	3.241822453	1.417832137	2.916093203	2.732372468	2.665627889	3.520777362	2.765673835	3.438743582	3.763752448	2.911962871	2.85115095	3.631637283	2.962809125	2.713684429	3.935023766	3.584782294
YJR062C	1.355914358	1.435059031	1.310359691	1.997381855	2.297638978	2.062838792	1.000036565	1.169964009	1.08554018	1.113102725	0.889472952	1.07060035	1.249668271	1.017787458	1.160262309	1.377076933	1.329756527	1.28024044	1.2670954	1.248391785	1.397583842	2.466273302	4.460694758	3.706678022	3.214886163	1.503180982	1.629496729	0.921595886	1.28847671	1.532517469	2.142797414	2.575276301	2.187372393	2.045086259	1.719352326	1.817815068	1.530016554	2.814182312	1.719480324	1.217885026	1.96598261	1.340616786
YGL025C	1.679844311	1.575507485	1.583451394	1.677587368	1.643211346	1.4115802	1.373792004	1.478383067	1.100692855	2.294014084	2.239994616	1.820274401	1.583072265	1.776507084	2.025897164	2.3096432	2.258962315	3.037173111	2.876639374	3.568300265	2.758080982	2.453262447	1.809761324	1.987830191	2.339951367	1.396383741	1.669830797	1.221158356	2.164545336	2.171804581	1.920648196	2.560873178	2.111616435	2.752383354	2.429838846	2.295160399	1.889443488	2.050875201	1.705504782	2.222313737	3.03436308	2.943880145
YGR009C	0	6.581688844	4.164142847	0	10.11543015	7.797937431	6.052237674	4.437809243	0	10.61067303	8.087093245	7.340032632	0	7.260322911	8.458350989	9.238334128	15.48066108	9.51343583	17.75086172	11.17512419	11.10079857	0	20.30521748	15.107978	9.456322315	7.920576972	8.393582488	0	9.979015563	11.14736059	10.94437341	12.93060775	16.068691	0	10.50275541	12.34704328	0	11.00805545	11.43373547	9.724885382	14.5948834	7.355173193
