rxn,Nsubs,OnlySubResults,nOtherMets,nOneComb,OneMetResults,nTwoComb,TwoMetResults,nThreeComb,ThreeMetResults
r_0713_f,2,-0.21723764739758677,2740,68,"(('s_0557[c]',), -0.08793408319774894)",2278,"(('s_0951[c]', 's_0841[c]'), -0.055012233792695084)",50116,"(('s_0362[c]', 's_1182[m]', 's_1324[e]'), 0.01934965784474918)"
r_0722,3,-0.48845877931818144,2739,73,"(('s_0767[c]',), -0.024794600719370962)",2628,"(('s_0767[c]', 's_0557[c]'), 0.04036294908178491)",62196,"(('s_0421[m]', 's_0767[c]', 's_1005[m]'), 0.44601947149029486)"
r_0726,3,-10.63018312651752,2739,67,"(('s_1360[c]',), -5.37094172147564)",2211,"(('s_0581[c]', 's_1324[e]'), -1.987967225933751)",47905,"(('s_0581[c]', 's_1324[e]', 's_0841[c]'), -1.455591975186483)"
r_0735,2,-0.14891517136314056,2740,78,"(('s_0529[c]',), -0.06524018247035432)",3003,"(('s_0837[c]', 's_0529[c]'), 0.012750743231241812)",76076,"(('s_0951[c]', 's_0837[c]', 's_0529[c]'), -0.0022669094840607417)"
r_0739,2,-0.04508761526836631,2740,77,"(('s_0837[c]',), 0.0033008447469116352)",2926,"(('s_0362[c]', 's_0529[c]'), 0.2635607215835202)",73150,"(('s_0188[c]', 's_0362[c]', 's_0529[c]'), 0.3875583679145974)"
r_0773,3,-0.05775448835055983,2739,76,"(('s_0373[c]',), 0.21417468564389974)",2850,"(('s_0373[c]', 's_0767[c]'), 0.34552166013048097)",70300,"(('s_0767[c]', 's_0837[c]', 's_0066[c]'), 0.44263066691396735)"
r_0785,3,0.17027354003339928,2739,78,"(('s_1203[c]',), 0.31279173236710095)",3003,"(('s_0362[c]', 's_0529[c]'), 0.6397343531578179)",76076,"(('s_0767[c]', 's_0362[c]', 's_0529[c]'), 0.6796399352815186)"
r_0795,2,0.16805950339044623,2740,77,"(('s_1032[c]',), 0.19393764999814808)",2926,"(('s_1399[c]', 's_0767[c]'), 0.30017063555939466)",73150,"(('s_1399[c]', 's_0767[c]', 's_0362[c]'), 0.32832512176409157)"
r_0800,2,0.4156420474301289,2740,80,"(('s_0767[c]',), 0.4590328816777907)",3160,"(('s_0767[c]', 's_0529[c]'), 0.5233981463394736)",82160,"(('s_0725[c]', 's_1458[c]', 's_0767[c]'), 0.5847912645444205)"
r_0811,2,0.24576379549579758,2740,80,"(('s_0767[c]',), 0.3011791380778284)",3160,"(('s_0767[c]', 's_0529[c]'), 0.3533767207596334)",82160,"(('s_0725[c]', 's_1458[c]', 's_0767[c]'), 0.4211136178296983)"
r_0816,2,-0.003911257003159796,2740,56,"(('s_0993[m]',), 0.09978396526039277)",1540,"(('s_0767[c]', 's_0993[m]'), 0.19285463910462827)",27720,"(('s_0767[c]', 's_1427[c]', 's_0993[m]'), 0.21452808771158138)"
r_0843,3,-8.136863603766217,2739,80,"(('s_0362[c]',), -1.9970353244786536)",3160,"(('s_1266[c]', 's_0767[c]'), -0.384224963678681)",82160,"(('s_0764[c]', 's_0075[c]', 's_0767[c]'), 0.9799468229385353)"
r_0889,2,0.6473086226858304,2740,72,"(('s_0767[c]',), 0.6726685903542344)",2556,"(('s_1442[c]', 's_0767[c]'), 0.693689735631593)",59640,"(('s_1042[m]', 's_1488[m]', 's_1003[c]'), 0.7409304198867621)"
r_0904,2,0.3219782143417794,2740,78,"(('s_0445[c]',), 0.4033588829334853)",3003,"(('s_0445[c]', 's_0837[c]'), 0.5002890224612371)",76076,"(('s_0445[c]', 's_1427[c]', 's_1324[e]'), 0.5401976340561285)"
r_0937,3,0.29996482097683513,2739,69,"(('s_0767[c]',), 0.517283338376718)",2346,"(('s_0767[c]', 's_1324[e]'), 0.5540095660711741)",52394,"(('s_0767[c]', 's_1460[m]', 's_0066[c]'), 0.5774892767619854)"
r_0939,2,-0.3941000204637377,2740,70,"(('s_1399[c]',), -0.3223658563171079)",2415,"(('s_0551[c]', 's_0577[c]'), 0.3072128028860969)",54740,"(('s_0837[c]', 's_0551[c]', 's_0577[c]'), 0.4275301812196163)"
r_0956,2,-2.3317264461431035,2740,59,"(('s_0362[c]',), -0.7544075943039249)",1711,"(('s_3547[c]', 's_1399[c]'), 0.006926702280934882)",32509,"(('s_3119[erm]', 's_1616[c]', 's_0419[c]'), 0.30829943143885485)"
r_0958,3,-1.393379753030358,2739,69,"(('s_0986[c]',), -0.9484787272367509)",2346,"(('s_0767[c]', 's_0986[c]'), -0.5761416729916201)",52394,"(('s_0522[c]', 's_0986[c]', 's_1324[e]'), -0.37275088382116944)"
r_0959,2,-1.9311345931410357,2740,63,"(('s_1360[c]',), -0.8595234420881599)",1953,"(('s_0581[c]', 's_0551[c]'), -0.16999148184446164)",39711,"(('s_0180[c]', 's_1427[c]', 's_0551[c]'), 0.2883291279512787)"
r_0967,2,-0.31913999705384627,2740,78,"(('s_1620[c]',), -0.19225080024985813)",3003,"(('s_0727[m]', 's_0188[c]'), -0.1164355041021049)",76076,"(('s_1460[m]', 's_0145[m]', 's_0188[c]'), -0.08778211297575955)"
r_0988,3,0.6618405350175866,2739,71,"(('s_0373[c]',), 0.7132328645942809)",2485,"(('s_1214[m]', 's_0993[m]'), 0.7954708608963479)",57155,"(('s_1210[m]', 's_0993[m]', 's_0557[c]'), 0.7977042026092211)"
r_1089,3,-0.37049820895536045,2739,77,"(('s_1266[c]',), -0.09757656885596981)",2926,"(('s_1266[c]', 's_1427[c]'), 0.008232661533358531)",73150,"(('s_0725[c]', 's_1266[c]', 's_0362[c]'), 0.2013226807014945)"
r_2115,3,-1.322315628749927,2739,60,"(('s_0727[m]',), 0.10866984011246897)",1770,"(('s_0767[c]', 's_0722[c]'), 0.5052486199980735)",34220,"(('s_1042[m]', 's_0764[c]', 's_0767[c]'), 0.5755960743446621)"
