copy/pgCDW	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38
YDL075W	65546.61289	58595.92552	67216.90094	62038.28744	81970.83528	71117.2785	73963.84535	77515.03752	73404.66261	63066.6612
YDL077C	0	0	0	0	0	0	0	0	0	0
YDL078C	10797.39353	8988.81822	7938.261725	6499.390389	9660.122505	9424.695963	8728.816067	11569.97897	14254.55398	5700.254727
YDL081C	0	0	0	0	0	0	0	0	0	0
YDL082W	516.3098385	534.1503085	428.6965243	475.0842221	545.9077659	541.251597	603.8149579	614.4729176	594.7399961	464.2459937
YDL084W	3737.89505	4130.640447	3473.629332	3491.544591	3848.988985	3749.63341	3554.733802	3722.313158	3730.723457	3114.722721
YDL086W	901.0244657	1056.698472	988.2650329	955.3294052	828.7145234	789.7493727	729.0720727	1037.151497	1074.977325	897.1207905
YDL092W	1138.847903	965.135613	936.2621185	901.5791969	1046.984499	1073.693262	983.6481915	943.6493271	1044.139557	640.9299344
YDL095W	15.75497203	18.21481294	15.30183902	18.26710815	15.34002575	17.92322011	20.57171724	14.69522761	12.67021395	45.10867354
YDL097C	3935.996459	3960.53157	3773.686418	4018.897663	4042.549256	3979.209217	4254.222831	4070.219707	4545.940832	3384.244392
YDL100C	5570.468908	5630.331683	7016.047132	8664.216274	5705.80293	5611.117976	5128.908925	6992.265324	7471.926107	7933.99328
YDL101C	58.36917825	0	78.83437758	107.871983	0	67.43795899	59.72450694	78.67666829	82.93303543	77.90085564
YDL103C	1385.748276	1358.414301	1340.002369	1337.004947	1476.827392	1505.664204	1364.326814	1497.382815	1583.896236	999.5560243
YDL110C	0	0	0	0	0	0	0	0	0	0
YDL112W	64.17160669	0	40.90083153	95.17593852	71.36487875	37.88476703	63.77414979	74.17923177	47.64331303	89.93227881
YDL113C	0	0	0	0	0	0	0	0	0	0
YDL115C	110.0256743	137.3664385	119.921177	146.0783264	198.0697738	168.587401	194.1363163	144.732072	148.3444033	133.5948638
YDL116W	168.7420553	135.0554289	151.0458417	208.5083961	179.9792873	171.5326255	218.0350361	177.884097	191.5566903	197.8024614
YDL119C	0	0	0	0	0	0	0	0	0	0
YDL120W	0	0	0	0	0	0	0	0	0	0
YDL121C	405.3145434	346.7744106	351.1153498	274.1907812	413.8441916	660.1522976	439.364792	443.9815442	385.9548584	348.0430419
YDL124W	31179.78946	15636.21368	6604.892345	11382.20308	29425.58407	27967.11051	21929.02604	39853.02153	43568.07535	18753.92562
YDL125C	11065.32896	11276.73262	12484.9839	10756.18054	12162.27912	12958.13751	14481.65454	14660.1457	19384.90044	12287.1239
YDL126C	6617.612754	7074.195939	6946.371764	8449.326332	6724.539075	6889.160298	7001.636656	6577.647576	6763.287448	5583.773596
YDL130W	0	0	0	0	0	0	0	0	0	0
YDL131W	13815.82755	12735.49479	18763.13552	18522.71744	15321.10815	15685.05873	15570.55155	13016.31014	12590.38301	12635.85022
YDL132W	218.1665814	229.3685666	268.3827139	336.2380205	235.8076595	211.716592	227.1817114	230.2146317	222.1096272	288.7900368
YDL134C	0	0	0	0	0	0	0	0	0	0
YDL135C	2890.33534	2755.847441	2497.916456	2149.003357	2583.775919	2461.866109	2289.204125	3045.324549	3700.608837	2589.491666
YDL140C	653.5356312	648.4110796	614.6123586	669.2245864	639.8978918	641.7940237	679.4582734	606.8631199	621.8772208	603.0453059
YDL143W	4848.845545	4382.42995	4924.603066	6029.21425	5262.47144	5344.516432	5740.63261	5134.332816	5411.969156	5022.605355
YDL144C	2021.976787	1925.139333	1459.011736	885.4712929	1692.939559	1758.93423	1707.452116	2219.086249	2262.703196	1471.525877
YDL145C	702.6840125	686.0954865	541.1506532	687.7094524	740.3587849	850.5515255	905.0777514	611.7555519	669.6431666	1034.46473
YDL147W	1329.031162	1398.687738	1212.719762	1278.16477	1292.604681	1319.281075	1340.399019	1474.678767	1530.937652	1079.656802
YDL148C	67.81306955	0	69.77293917	102.8292378	81.13670461	71.31099119	93.04372636	94.1863203	104.467387	113.8199496
YDL150W	190.4163913	187.4289284	204.2321942	289.3871968	190.7780466	173.6753975	192.3465926	211.8512929	230.3780223	245.2307999
YDL160C	226.6444633	221.1335518	240.8673939	331.4947758	239.6496203	243.6059848	225.3601766	221.772079	227.3578268	197.3341169
YDL161W	128.8456351	117.380497	92.84384986	104.6104284	118.7336552	117.5391169	130.8890454	121.3904242	146.2460666	82.71771882
YDL165W	823.9489536	921.8405141	749.3868815	750.6784029	775.2142246	767.262491	741.7305079	825.5821986	1005.005604	712.667328
YDL166C	119.2958692	111.4150296	134.6842657	129.2077382	118.7146582	119.8254013	123.2857755	124.5208119	101.7763133	68.78282368
YDL168W	234.0396085	211.7440914	245.8512512	317.2084067	353.2815895	416.6748716	620.9615537	283.7603691	300.7786191	331.5979478
YDL171C	1296.913742	2958.953694	1599.612307	806.919446	1248.464752	1365.256452	1289.904996	1273.277223	1161.903505	672.5456701
YDL174C	2360.368521	1331.198647	1758.733289	1167.123949	2941.437613	2810.966527	2883.094469	2645.079416	2492.950054	2168.735385
YDL178W	1168.784216	1395.605576	1433.554872	1099.201748	1279.164953	1217.546604	1214.466118	1150.037654	1188.352197	863.7502758
YDL181W	7506.456319	9927.489728	9189.610012	6897.067401	8009.795753	7920.494242	7525.472321	7708.108078	9062.315951	2974.463004
YDL182W	7101.571794	6352.725076	9781.637324	11007.46515	9348.84021	9196.169757	10845.70305	6899.306675	5377.417611	6380.432725
YDL185W	3317.402383	4531.687334	4188.896213	5692.728012	3484.101138	3609.593191	3499.965026	3721.845536	3840.160699	4489.55872
YDL190C	112.3318773	102.247759	141.3979227	224.4526094	139.0614359	114.6922299	128.9685932	118.8497186	126.0497068	140.0485409
YDL195W	1858.663414	1777.758398	2167.806105	2973.482079	1968.831842	1884.249848	1914.580625	1862.455711	1939.970481	2154.467564
YDL198C	3686.558408	5575.733506	6369.168967	3512.724687	3555.44823	3339.144932	2651.170698	3150.646053	3087.516538	2260.664996
YDL201W	524.3151212	466.2051376	459.041249	411.3704818	553.7307663	523.8890618	537.9623641	619.9333983	488.242192	312.623793
YDL202W	202.4804582	152.0574691	344.6712904	300.9999068	216.0367527	193.1226963	192.8985862	152.423409	168.4265977	250.0005795
