r_0001	s_0709[m]	s_0025[c]
r_0002	s_0709[m]	s_0027[m]
r_0003_f	s_0035[c]	s_1198[c]
r_0004	s_0709[m]	s_0063[c]
r_0005	s_1543[c]
r_0006	s_1543[c]
r_0007	s_0077[c]
r_0012	s_0119[m]	s_0807[m]	s_1200[m]
r_0013	s_0311[c]	s_0803[c]
r_0014	s_0794[c]	s_0803[c]	s_0142[c]
r_0015	s_0794[c]	s_1212[c]	s_0141[c]
r_0016	s_1401[m]	s_0179[m]	s_0799[m]
r_0017	s_0148[m]	s_0437[m]
r_0018_f	s_0991[c]	s_0176[c]
r_0019	s_0794[c]	s_1212[c]	s_0149[c]
r_0020	s_0807[m]	s_0552[m]	s_1361[m]
r_0021	s_1419[m]	s_0155[m]
r_0022	s_1278[m]	s_0157[m]
r_0023_f	s_0803[c]	s_0165[c]
r_0024	s_0373[c]	s_0232[c]	s_0803[c]
r_0025	s_0376[m]	s_0807[m]	s_0233[m]
r_0026	s_0991[c]	s_0294[c]
r_0027_f	s_0834[m]
r_0028	s_0807[m]	s_1273[m]	s_1382[m]
r_0029	s_0010[c]	s_0794[c]
r_0030	s_0011[m]	s_0799[m]
r_0032	s_0390[c]	s_0803[c]
r_0033	s_0803[c]	s_0192[c]
r_0034	s_0803[c]	s_0194[c]
r_0035	s_0196[c]	s_0803[c]
r_0036	s_0195[c]	s_0803[c]
r_0037	s_0803[c]	s_0193[c]
r_0038	s_0577[c]
r_0039	s_0210[c]
r_0040	s_0349[c]
r_0041	s_0231[er]	s_0795[er]	s_1213[er]
r_0042	s_1360[c]	s_0551[c]	s_0803[c]
r_0043	s_0215[c]	s_1275[c]
r_0044	s_0799[m]	s_0214[m]
r_0045	s_0803[c]	s_0222[c]
r_0057	s_0054[p]	s_1202[p]
r_0058	s_1275[c]	s_0224[c]
r_0059	s_1416[c]	s_0009[c]
r_0060_f	s_0009[c]
r_0061	s_0009[c]	s_1198[c]
r_0062	s_0232[c]	s_0794[c]
r_0063	s_0807[m]	s_0233[m]	s_0307[m]
r_0064	s_0794[c]	s_0056[c]
r_0065	s_1360[c]	s_0261[c]
r_0066	s_0999[c]	s_0515[c]
r_0067	s_0269[c]
r_0068	s_0180[c]	s_0734[c]
r_0069	s_0803[c]	s_0264[c]
r_0070	s_0807[m]	s_0290[m]
r_0072	s_0291[c]	s_0794[c]
r_0073	s_0279[c]	s_0803[c]
r_0074	s_0434[c]	s_0279[c]	s_0794[c]
r_0075	s_1322[c]	s_0303[c]
r_0076	s_0803[c]	s_0526[c]
r_0077	s_0803[c]	s_0849[c]
r_0078	s_0803[c]	s_1545[c]
r_0079	s_0434[c]	s_0803[c]	s_0301[c]	s_0999[c]
r_0080	s_0306[c]	s_1212[c]	s_0794[c]
r_0081	s_1464[m]	s_1005[m]	s_0799[m]
r_0082	s_0318[c]	s_0803[c]
r_0083	s_0434[c]	s_1158[c]
r_0084	s_0434[c]	s_0319[c]
r_0085	s_0323[c]	s_1012[c]
r_0086	s_1423[c]
r_0087_f	s_1422[c]
r_0088_f	s_1322[c]	s_0318[c]	s_0794[c]
r_0089_f	s_1322[c]	s_0318[c]	s_0794[c]
r_0090	s_0434[c]	s_0557[c]
r_0091	s_0335[c]	s_0803[c]
r_0092	s_0333[c]	s_0803[c]
r_0093	s_0434[c]	s_0333[c]	s_0794[c]
r_0094	s_0955[c]	s_1368[c]	s_0794[c]
r_0095	s_0359[c]
r_0096	s_1214[m]	s_0146[m]	s_0799[m]
r_0097	s_1401[m]	s_0799[m]
r_0099_f	s_0376[m]	s_1845[m]
r_0100	s_0250[p]	s_0534[p]
r_0101	s_0534[p]	s_0243[p]
r_0102	s_0253[p]	s_0534[p]
r_0103_f	s_0373[c]
r_0104_f	s_0376[m]
r_0105	s_0257[p]	s_0534[p]
r_0106	s_0239[p]	s_0534[p]
r_0107	s_0247[p]	s_0534[p]
r_0108	s_0376[m]	s_0447[m]	s_0437[m]
r_0109	s_0434[c]	s_0373[c]	s_0445[c]
r_0111	s_0376[m]	s_0807[m]
r_0112	s_0434[c]	s_0529[c]	s_0362[c]
r_0113	s_0437[m]	s_0532[m]	s_0365[m]
r_0114	s_0438[n]	s_0533[n]	s_0366[n]
r_0115	s_1192[m]	s_0437[m]
r_0116	s_0715[e]	s_0805[e]
r_0117_f	s_0174[m]
r_0118	s_0993[m]	s_0145[m]
r_0119	s_0807[m]	s_0532[m]
r_0120	s_0605[p]	s_1279[p]
r_0121	s_1076[p]	s_1279[p]
r_0122	s_1279[p]	s_0819[p]
r_0123	s_1305[p]	s_1279[p]
r_0124	s_1457[p]	s_1279[p]
r_0125	s_1179[p]	s_1279[p]
r_0126_f	s_3432[erm]	s_2821[erm]
r_0127	s_3441[erm]	s_2821[erm]
r_0128_f	s_3435[erm]	s_2821[erm]
r_0129	s_3438[erm]	s_2821[erm]
r_0130_f	s_2821[erm]	s_3444[erm]
r_0131_f	s_3432[erm]	s_2819[erm]
r_0132_f	s_3441[erm]	s_2819[erm]
r_0133_f	s_3435[erm]	s_2819[erm]
r_0134_f	s_3438[erm]	s_2819[erm]
r_0135_f	s_2819[erm]	s_3444[erm]
r_0137_f	s_0329[er]	s_1303[er]
r_0138	s_0794[c]	s_0803[c]	s_0383[c]
r_0139	s_1386[c]	s_0383[c]
r_0140	s_0386[c]	s_0794[c]	s_0803[c]
r_0142	s_0434[c]	s_0386[c]
r_0143	s_0794[c]	s_0803[c]	s_0423[c]
r_0144	s_0803[c]	s_1413[c]
r_0145	s_1416[c]	s_0794[c]
r_0146_f	s_1416[c]	s_0352[c]
r_0147	s_0434[c]
r_0148	s_0434[c]	s_0423[c]
r_0149	s_0437[m]	s_0424[m]
r_0150_f	s_0786[m]	s_0424[m]
r_0151	s_0299[c]
