index,v_measured,v_pred
0,0.0,-0.0
1,0.0,-0.0
2,3.44994461,3.8341387050559947
3,0.0,3.5889945061998045e-22
4,4.906e-05,4.460031384351407e-05
5,4.906e-05,4.716843858458623e-05
6,0.0,0.0
7,0.0,4.000028147400364e-07
8,9.812e-05,9.04236709357702e-05
9,0.0,4.5891153814436747e-08
10,0.06507424,1.59377306618049e-05
11,0.0,0.0
12,0.0,3.758069105241902e-06
13,0.0,1.5085823325597307e-06
14,0.0,-0.0
15,0.0,2.2428850488782096e-08
16,0.0,-4.440925979818516e-16
17,0.0,0.0
18,0.22,0.20000018559364768
19,0.0,2.8247687089737834e-06
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,4.125966357221801e-06
24,0.0,3.433217689104704e-06
25,0.0,0.0
26,0.0,2.177258871142997e-06
27,0.0,9.379883111953925e-07
28,0.0,-0.0
29,0.0,0.0
30,0.0,2.1703079410649668e-07
31,0.0,1.0253523672524972e-06
32,0.0,-0.0
33,0.0,0.0
34,0.0,-0.0
35,0.0,-0.0
36,0.0,0.0
37,0.0,-0.0
38,0.0,-0.0
39,0.0,1.0358099162814882e-06
40,0.0,2.0918541080565524e-06
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,1.141194707621162e-07
45,0.0,-0.0
46,0.0,1.0248567252753702e-06
47,0.0,3.8641873291047507e-05
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,2.90340106123832e-07
52,0.0,0.0
53,0.0,0.0
54,0.0,-0.0
55,0.0,-0.0
56,0.0,0.0
57,0.0,1.0667876428081867e-06
58,0.0,-4.440925979818516e-16
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,-0.0
64,0.0,4.731564198976577e-07
65,0.0,-0.0
66,0.0,4.111525583883059e-07
67,0.0,4.7281161531561744e-07
68,0.0,2.7506231008445074e-06
69,0.0,4.836418632679084e-06
70,0.0,0.0
71,0.0,4.2101510806551973e-07
72,0.0,0.0
73,0.0,0.36796031236910764
74,0.0,2.215329708692713e-07
75,0.0,-0.0
76,0.0,2.847203321421665e-07
77,0.0,-0.0
78,0.0,1.8309494721177428e-07
79,0.0,0.0
80,0.0,4.126294264646649e-06
81,0.0,-0.0
82,0.0,8.096701591978063e-06
83,0.0,1.0113807640281671e-07
84,0.0,8.216730121662032e-08
85,0.0,0.0
86,0.0,4.9493326603755605e-08
87,0.48866518,0.1249649358311401
88,0.0,1.1113678743566655e-14
89,0.0,-0.0
90,0.0,3.504486854105264e-06
91,0.0,2.5009286037236564e-06
92,0.0,2.195764568021909e-06
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,1.122477801404443e-06
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,-0.0
103,0.0,2.391725702322366e-08
104,0.0,0.0
105,0.0,1.6813739510363023e-08
106,0.0,0.0
107,0.0,2.5323610306362877e-08
108,0.0,0.0
109,0.0,6.383882103618727e-07
110,0.0,6.068472855113375e-06
111,0.0,0.0
112,0.0,-0.0
113,0.0,-0.0
114,0.0,-0.0
115,0.0,2.323603151162771e-07
116,0.0,-0.0
117,0.0,0.0
118,0.0,2.368444377669471e-07
119,0.0,0.0
120,0.0,-0.0
121,0.0,0.0
122,0.0,1.5790676494955078e-06
123,0.0,1.5201526524670888e-06
124,0.0,4.2582159512503974e-07
125,0.0,0.0
126,1.82519473,2.4672162097362826
127,0.0,-0.0
128,0.0,1.1624601886091127e-06
129,0.0,-0.0
130,0.0,1.4380238067690058e-06
131,0.0,-0.0
132,0.0,-0.0
133,0.0,-0.0
134,0.0,-0.0
135,0.0,-0.0
136,0.0,-0.0
137,0.0,0.0
138,0.0,-0.0
139,0.0,0.0
140,0.0,-0.0
141,0.0,0.0
142,0.0,4.000028147400365e-07
143,0.0,0.0
144,0.0,-0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,-0.0
148,0.0,2.0370625911011788e-07
149,0.0,-0.0
150,0.0,0.0
151,0.0,8.244802748059133e-06
152,0.0,-0.0
153,0.0,-0.0
154,0.0,0.0
155,0.0,1.8880559026715488e-07
156,0.0,0.0
157,0.0,7.95975531927379e-07
158,0.0,0.0
159,0.0,1.022524895457127e-06
160,0.0,-0.0
161,0.0,0.0
162,0.0,8.251289476297704e-06
163,0.0,-0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.19846934,0.17104975850374873
170,0.0,0.0
171,0.0,8.247633756973207e-06
172,0.0,-0.0
173,0.0,5.891862475893359e-07
174,0.0,0.0
175,0.0,0.0
176,0.0,1.8260613240258795e-07
177,0.0,0.0
178,0.0,0.0
179,0.0,-0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,-0.0
183,0.0,-0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,-0.0
187,0.0,-0.0
188,0.0,-0.0
189,0.0,2.2297382558471155e-07
190,0.0,0.0
191,0.0,0.0
192,0.0,-0.0
193,0.0,3.331683736983473e-07
194,0.0,0.0002582640342460503
195,0.0,0.0
196,0.0,-0.0
197,0.0,1.1307830840867068e-06
198,0.0,0.0
199,0.0,4.126013164563679e-06
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.0,-0.0
205,0.0,0.0
206,0.0,-0.0
207,0.0,0.0
208,0.0,-0.0
209,0.0,2.0629229413476235e-07
210,0.0,0.0
211,0.0,0.0
212,0.0,-0.0
213,0.0,-0.0
214,0.0,0.0
215,0.0,2.7388849222232943e-07
216,0.0,-0.0
217,0.0,0.0
218,0.0,6.144924857107474e-07
219,0.0,2.0691762330819973e-05
220,0.0,3.730758478106195e-06
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,7.326066353654178e-06
225,0.0,0.0
226,0.0,0.0
227,0.0,-0.0
228,0.0,0.0
229,0.0,2.6805958888310114e-06
230,0.0,2.8502126940893725e-06
231,0.0,2.3887427072917085e-06
232,0.0,3.447658084783244e-06
233,0.0,3.1309082655917014e-06
234,0.0,2.3783536622977497e-06
235,0.0,0.0
236,0.0,0.0
237,0.0,4.512157882592098e-06
238,0.0,4.3790829873785114e-07
239,0.0,-0.0
240,0.0,-0.0
241,0.0,0.0
242,0.0,0.0
243,0.0,-0.0
244,0.0,0.0
245,0.0,0.0
246,0.0,1.3716046884773816e-06
247,0.0,0.0
248,0.0,1.6429595221370708e-06
249,0.0,0.0
250,0.0,0.0
251,0.0,0.0
252,0.0,0.0
253,0.0,0.0
254,0.0,0.0
255,0.0,0.0
256,0.0,0.0
257,0.0,0.0
258,0.0,0.0
259,0.0,-8.470329472543003e-22
260,0.0,2.1135909161848847e-07
261,0.0,1.4930992734029348e-06
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,0.0,-0.0
266,0.0,0.0
267,0.0,0.0
268,0.0,-0.0
269,0.0,0.0
270,0.0,0.0
271,0.0,0.0
272,0.0,0.0
273,0.0,0.0
274,0.0,0.0
275,0.0,-0.0
276,0.0,0.0
277,0.0,0.0
278,0.0,0.0
279,0.0,0.0
280,0.0,-0.0
281,0.0,0.0
282,0.0,8.490685092505813e-07
283,0.0,-0.0
284,0.0,3.041684683755981e-07
285,0.0,-0.0
286,0.0,-0.0
287,0.0,7.455030526659543e-07
288,0.0,1.1012771721728489e-06
289,0.0,2.8494371068084073e-06
290,0.0,0.0
291,0.0,4.129173475983797e-06
292,0.0,3.8290650052848e-07
293,0.0,5.785648432089485e-07
294,0.0,0.0
295,0.0,0.0
296,0.0,-0.0
297,0.0,-0.0
298,0.0,1.828148555876405e-07
299,0.0,1.0837905836426699e-06
300,0.0,1.449886074396646e-06
301,0.0,2.3401166312683736e-06
302,0.0,2.046711143365398e-06
303,0.0,2.510604957780681e-06
304,0.0,1.6182173272455132e-06
305,0.0,0.0
306,0.0,5.0589489054560043e-08
307,0.0,-0.0
308,0.0,2.028876397618401e-06
309,0.0,2.6073982308971027e-06
310,0.0,5.0470925601713984e-06
311,0.0,1.5545469522556913e-06
312,0.0,-0.0
313,0.0,6.959541003639734e-08
314,0.0,1.2769854681470073e-06
315,0.0,1.6179515995527092e-06
316,0.0,1.1386750691526884e-06
317,0.0,-0.0
318,0.0,1.0175745256626508e-07
319,0.0,1.4092084887900967e-06
320,0.0,1.649133105939655e-06
321,0.0,1.7437611179329155e-06
322,0.0,4.27363869405557e-06
323,0.0,0.0
